"나이","체지방률","악력","앞으로굽히기","윗몸일으키기","멀리뛰기","등급","bmi"
25,15.7,36.4,16.3,53,229,"A",20.5
42,19.3,43.5,16,68,211,"A",22.8
26,9.7,59.6,17.8,61,239,"A",22.1
31,23,51.2,18.4,62,208,"A",25.2
32,21.2,52.3,16.2,62,232,"A",26.7
28,15,52.6,18.8,55,247,"A",25.3
48,14.7,51.4,24.7,55,246,"A",26.2
23,14.4,45.4,18.1,56,234,"A",20.3
35,10.7,47.7,16.6,54,233,"A",23.4
36,21.5,46.7,16.8,53,220,"A",27.4
35,15.4,52.7,14.7,68,260,"A",24.8
35,13.8,51.5,17.1,64,237,"A",24.6
25,11.8,45.1,22.2,54,239,"A",22.2
41,21.5,49.6,18.7,54,242,"A",23.6
24,10.8,47.7,17.2,55,242,"A",21.7
33,19.3,59.8,19.7,59,228,"A",26.4
35,12.9,49.7,22.5,46,239,"A",20.1
35,16.3,48.8,15.3,56,229,"A",24.7
22,15.7,40.9,22.8,56,253,"A",22.8
27,15.9,49.2,16.7,55,229,"A",23.6
30,27.3,57,16.1,47,222,"A",29.4
56,22,37.7,20.5,40,195,"A",21.3
60,11.4,47.1,12.3,52,195,"A",22.9
60,23.1,47.3,16,41,206,"A",25.5
21,10.9,46.2,21.5,65,248,"A",22.4
22,16.4,38.8,19.9,67,240,"A",21.9
46,22.7,50.1,22.1,45,206,"A",25.9
44,18.1,48.3,28.7,52,203,"A",24
45,26.6,47.8,24.2,47,201,"A",25.8
26,14.1,50.6,16,51,231,"A",24.9
31,18.9,59.2,15.1,47,196,"A",26.7
51,23.3,47.4,22.4,55,211,"A",25.4
32,21.9,50.9,26.3,68,248,"A",24.7
22,15,44,16.3,61,234,"A",24.6
62,23.6,41.2,16.6,40,205,"A",23.6
24,24.7,64.3,19,57,235,"A",24.7
63,18.9,43.1,15.8,38,173,"A",24.1
27,7.8,49.6,21.5,54,223,"A",23
43,12.4,45.7,20.2,55,239,"A",24
46,17.8,43.9,14.5,46,237,"A",22.9
30,12.6,55.4,16.7,50,215,"A",23.8
63,28.7,37.1,14.3,31,174,"A",26.5
30,14.7,42.8,27.8,65,240,"A",21.7
25,9.2,51.5,21.8,58,230,"A",22.4
31,20,46.9,14.6,53,228,"A",25.5
29,15.7,52.2,19.7,57,254,"A",24.1
25,12.4,49.1,20.9,58,270,"A",23.1
32,24.3,42.2,17.1,54,229,"A",27.2
38,17.2,42.5,21.3,54,216,"A",24.4
22,15,50.3,26.8,60,276,"A",22.8
59,13.6,33,13.5,41,186,"A",21
41,17,47.8,17.8,50,240,"A",23.9
30,18.3,56.9,21.3,51,230,"A",28.2
36,20.3,46.3,22.9,59,243,"A",26.7
56,20.3,45.5,16.5,38,215,"A",25.3
46,11.3,48.1,16.3,42,238,"A",22.3
52,16.9,39.3,19.5,51,203,"A",23
24,3,52.4,23.9,60,280,"A",24
56,23.5,44.9,18.7,36,180,"A",25.5
30,22.2,45.5,16.1,66,228,"A",24
50,24.8,43.9,13.9,50,193,"A",27
63,20,40.9,15.9,33,182,"A",21.4
32,15.5,52,22.3,58,252,"A",24.7
23,12,41,18.5,63,262,"A",22.3
34,9.7,50.5,25.4,65,268,"A",24.6
45,12.2,37.8,20.2,54,211,"A",22
22,16.5,56.2,18.2,56,245,"A",24.4
22,10.2,56.8,18.2,67,275,"A",21.6
35,22.8,61.4,18,56,205,"A",29.9
47,14.8,52.2,22.4,60,230,"A",24.4
30,13.1,56.9,26.4,57,226,"A",26.3
45,14.1,41,14.5,48,216,"A",20.7
29,15.8,43.6,16.6,53,260,"A",28.8
51,17.3,35.7,16.3,44,193,"A",20.1
30,12.6,45.2,18.1,47,224,"A",23.3
31,19.7,44.8,17.9,48,240,"A",24.9
31,19.6,50.4,23.6,54,223,"A",24
31,19.4,44.2,17.5,51,227,"A",22.3
21,11,49.7,22.5,57,260,"A",23
26,12,48.7,20.2,61,245,"A",26
31,26.6,45.1,17.3,53,202,"A",26.4
36,17.1,40.8,19.7,55,239,"A",22.7
22,19.1,37.1,17.8,61,226,"A",27.6
25,15.9,48.5,20.2,56,245,"A",22.9
40,15.1,54.7,20,50,210,"A",25.4
26,16.5,54.1,24.5,68,220,"A",25
36,9.7,50.6,14.4,48,212,"A",23.3
50,24.2,41.7,14.8,58,212,"A",24.7
35,13.5,56.7,29.3,62,259,"A",24.7
25,6.3,41.8,18.7,53,241,"A",21
56,21.6,38.5,16.8,36,182,"A",25.3
29,14.6,54.5,17,59,234,"A",24.4
36,18.7,47.2,21.7,57,247,"A",23.2
34,18.5,39,18.7,52,232,"A",23.4
27,14.6,51.9,16,58,237,"A",25.2
28,19.4,48.6,25.3,55,231,"A",26.3
33,18.3,42.4,18,51,221,"A",22.2
50,22.3,42.2,16.4,56,195,"A",22.9
35,11.1,47.3,26.7,65,214,"A",23.9
58,15.8,20.5,17.9,36,194,"A",23.3
27,9,50,21,51,245,"A",23
38,11.4,43.9,27.5,53,250,"A",22.2
39,11.1,47.8,16,54,255,"A",21.7
21,11.4,43,18.5,56,237,"A",20.5
43,15.1,38.3,19.8,51,227,"A",22.7
28,14.8,50,15.5,52,242,"A",23.2
30,12.3,52,19,54,233,"A",21.5
27,19.4,51.4,19,57,226,"A",22.3
39,18.7,55.5,15.8,58,220,"A",23.8
21,13.8,52.2,24.5,59,245,"A",26.1
24,6.9,41.8,24.3,60,248,"A",20.7
38,13.9,52.1,17.8,62,257,"A",23.9
28,7.8,49,26.4,55,258,"A",23.7
63,24.4,53.3,24.6,31,189,"A",26.2
25,14.8,53.9,17.2,58,220,"A",24.5
32,9.3,47.9,16.7,51,247,"A",22.9
25,20.6,60.9,20.7,68,230,"A",30.6
25,11,54.3,18.4,58,252,"A",24.1
40,12,46.9,15,50,250,"A",24.2
39,17.2,50.7,14.9,46,222,"A",24
