기간	자치구	합계	합계	살인	살인	강도	강도	강간강제추행	강간강제추행	절도	절도	폭력	폭력
기간	자치구	발생	검거	발생	검거	발생	검거	발생	검거	발생	검거	발생	검거
2020	합계	92,679	66,548	141	126	138	132	5,763	5,458	38,293	19,705	48,344	41,127
2020	종로구	3,102	3,343	9	7	7	9	192	855	1,183	944	1,711	1,528
2020	중구	3,411	2,323	2	2	5	6	186	128	1,642	863	1,576	1,324
2020	용산구	2,969	2,056	5	3	6	6	230	186	1,111	534	1,617	1,327
2020	성동구	2,362	1,774	5	5	3	3	115	98	1,016	565	1,223	1,103
2020	광진구	3,601	2,511	2	2	4	4	255	224	1,664	874	1,676	1,407
2020	동대문구	3,401	2,465	10	8	6	5	161	142	1,440	713	1,784	1,597
2020	중랑구	3,726	2,781	10	9	5	6	183	153	1,506	889	2,022	1,724
2020	성북구	2,567	1,947	4	4	3	2	142	121	988	580	1,430	1,240
2020	강북구	2,770	2,259	9	8	5	4	159	132	780	490	1,817	1,625
2020	도봉구	2,179	1,490	-	-	2	2	82	87	861	379	1,234	1,022
2020	노원구	3,743	2,581	4	3	3	3	169	148	1,404	646	2,163	1,781
2020	은평구	3,390	2,531	4	4	4	3	171	145	1,371	756	1,840	1,623
2020	서대문구	2,533	1,706	3	3	2	1	159	149	1,077	524	1,292	1,029
2020	마포구	3,688	2,534	9	8	4	3	348	287	1,483	679	1,844	1,557
2020	양천구	3,216	2,086	5	5	3	3	109	90	1,517	718	1,582	1,270
2020	강서구	4,415	3,393	10	9	6	5	265	222	1,689	1,070	2,445	2,087
2020	구로구	4,175	2,984	6	6	5	5	197	142	1,763	1,008	2,204	1,823
2020	금천구	2,598	1,966	4	4	7	6	117	93	999	553	1,471	1,310
2020	영등포구	5,217	3,371	7	4	6	5	315	252	2,188	953	2,701	2,157
2020	동작구	3,200	2,086	1	1	1	2	226	121	1,341	592	1,631	1,370
2020	관악구	5,261	3,858	12	12	3	3	403	351	2,229	1,137	2,614	2,355
2020	서초구	4,601	3,052	5	5	6	4	396	303	2,021	960	2,173	1,780
2020	강남구	7,356	5,245	6	5	14	11	708	627	2,951	1,491	3,677	3,111
2020	송파구	5,410	3,544	6	6	13	17	287	235	2,429	1,006	2,675	2,280
2020	강동구	3,788	2,662	3	3	15	14	188	167	1,640	781	1,942	1,697
