"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"1","수영장업","10_35_01_P","4490000","CDFH3301012015000001","20150320","","02","휴업","02","휴업","","20210811","20220331","","577-2090","","330180","충청남도 천안시 동남구 안서동 211","충청남도 천안시 동남구 성불사길 36 (안서동)","31066","(주)홍익힐링센터","20210812102537","U","2021-08-14 02:40:00.0","","216807.30734","369696.35343","수영장업","사립","Y","2","1","8130.34","0","","",
"2","수영장업","10_35_01_P","5060000","CDFH3301012003000002","20030221","","02","휴업","02","휴업","","20080714","20100714","","433-9475","","740823","경상북도 김천시 봉산면 태화리 483번지","경상북도 김천시 봉산면 영남대로 734","","둥굴관광농원수영장","20080714144413","I","2018-08-31 23:59:59.0","","292217.588046484","294393.746691241","수영장업","사립","0","","","444","","","",
"3","수영장업","10_35_01_P","5050000","CDFH3301012001000001","20011026","","02","휴업","02","휴업","","20170601","20220531","","","","780280","경상북도 경주시 북군동 11-1번지","경상북도 경주시 보문로 182-29 (북군동)","","(주)이랜드파크켄싱턴리조트경주실외수영장","20170608180745","I","2018-08-31 23:59:59.0","","404841.798098935","264595.723082798","수영장업","사립","Y","","","","","","",
"4","수영장업","10_35_01_P","5050000","CDFH3301012003000002","20031220","","02","휴업","02","휴업","","20120827","20201231","","054-744-1199","","780290","경상북도 경주시 신평동 601-19번지","경상북도 경주시 보문로 365 (신평동)","780290","일성경주보문콘도실내수영장","20190628140607","U","2019-06-30 02:40:00.0","","406006.834843173","263329.635881066","수영장업","사립","Y","","","","","","",
"5","수영장업","10_35_01_P","4910000","CDFH3301012005000001","20050805","","02","휴업","02","휴업","","20130813","20160630","","","","529803","전라남도 장흥군 장흥읍 행원리 1036번지","","","수영장","20130813154222","I","2018-08-31 23:59:59.0","","190431.91575","132634.798521","수영장업","사립","0","","","","","","",
"6","수영장업","10_35_01_P","4670000","CDFH3301012005000001","20050219","","02","휴업","02","휴업","","20130101","20131231","","063)466-6277","","573872","전라북도 군산시 나운동 866-1번지","전라북도 군산시 부곡1길 39  (나운동)","","파라디수영장","20130430175129","I","2018-08-31 23:59:59.0","","171891.334376","273322.502519","수영장업","사립","0","","1","1097.1","","","",
"7","수영장업","10_35_01_P","6520000","CDFH3301012015000001","20150712","","02","휴업","02","휴업","","20180703","20181231","","","","699901","제주특별자치도 서귀포시 성산읍 1201번지","제주특별자치도 서귀포시 성산읍 고성오조로 94","63639","퓨리아실내수영장","20180703112833","I","2018-08-31 23:59:59.0","","191952.780561","-4920.68350028","수영장업","사립","Y","1","1","14380.52","","","",
"8","수영장업","10_35_01_P","5600000","CDFH3301012006000001","20060511","","02","휴업","02","휴업","","20210701","20220630","","031-530-9100","","487913","경기도 포천시 신북면 삼성당리 459-1","경기도 포천시 신북면 포천로2414번길 24","11136","아도니스 수영장","20210526163829","U","2021-05-28 02:40:00.0","","217087.358382498","495840.726543435","수영장업","사립","Y","","","874.16","","","",
"9","수영장업","10_35_01_P","5420000","CDFH3301012016000001","20160715","","02","휴업","02","휴업","","20171025","20180530","","055-673-4994","","","","경상남도 고성군 삼산면 두포5길 113-109","52959","블루웨일 빌리지","20171026094922","I","2018-08-31 23:59:59.0","","318819.67817000000","159534.98758800000","수영장업","사립","","","","520.5","","","",
"10","수영장업","10_35_01_P","4810000","CDFH3301012012000001","20120523","","02","휴업","02","휴업","","20210314","20260313","","061-808-8000","","","전라남도 여수시 둔덕동 산 134-1","전라남도 여수시 좌수영로 641 (둔덕동, (주)여수관광레저)","59635","(주)여수관광레저","20211119131338","U","2021-11-21 02:40:00.0","","263162.32273500000","142636.09113000000","수영장업","사립","Y","0","0","0","0","","",
