기간	자치구	주택침수세대	피해액	피해액	피해액	피해액	사망및실종
기간	자치구	주택침수세대	합계	공공시설	건물	농경지	사망및실종
2016	계	38	197,668	197,668	-	-	-
2016	중구	1	-	-	-	-	-
2016	용산구	1	-	-	-	-	-
2016	도봉구	-	100,000	100,000	-	-	-
2016	노원구	3	74,659	74,659	-	-	-
2016	은평구	2	-	-	-	-	-
2016	서초구	10	23,009	23,009	-	-	-
2016	강남구	3	-	-	-	-	-
2016	강동구	18	-	-	-	-	-
2017	계	23	44,613	30,813	13,800	-	1
2017	종로구	-	15,268	15,268	-	-	-
2017	성동구	6	3,600	-	3,600	-	-
2017	도봉구	-	15,545	15,545	-	-	-
2017	구로구	3	1,800	-	1,800	-	1
2017	강동구	14	8,400	-	8,400	-	-
2018	계	1,465	2,622,682	1,304,182	1,318,500	-	4
2018	성동구	3	2,700	-	2,700	-	-
2018	광진구	-	-	-	-	-	1
2018	동대문구	22	19,800	-	19,800	-	-
2018	성북구	42	644,800	607,000	37,800	-	-
2018	강북구	115	552,042	448,542	103,500	-	-
2018	도봉구	246	221,400	-	221,400	-	-
2018	노원구	77	317,940	248,640	69,300	-	-
2018	은평구	691	621,900	-	621,900	-	-
2018	서대문구	77	69,300	-	69,300	-	1
2018	마포구	3	2,700	-	2,700	-	-
2018	양천구	110	99,000	-	99,000	-	1
2018	강서구	57	51,300	-	51,300	-	-
2018	관악구	-	-	-	-	-	1
2018	강남구	10	9,000	-	9,000	-	-
2018	강동구	12	10,800	-	10,800	-	-
2019	계	3	108,000	-	63,000	45,000	1
2019	노원구	-	1,000	-	-	1,000	-
2019	강서구	-	44,000	-	-	44,000	-
2019	구로구	1	21,000	-	21,000	-	-
2019	동작구	1	21,000	-	21,000	-	-
2019	서초구	1	21,000	-	21,000	-	-
2019	송파구	-	-	-	-	-	1
2020	계	150	276,600	-	276,600	-	-
2020	동대문구	1	900	-	900	-	-
2020	중랑구	7	6,300	-	6,300	-	-
2020	성북구	6	86,700	-	86,700	-	-
2020	강북구	1	900	-	900	-	-
2020	노원구	13	11,700	-	11,700	-	-
2020	서대문구	6	25,500	-	25,500	-	-
2020	마포구	2	1,800	-	1,800	-	-
2020	영등포구	1	42,000	-	42,000	-	-
2020	강동구	113	100,800	-	100,800	-	-
